Name,IGDB_Name,Aggregated_Rating,Age_Ratings_IDs
Wii Sports,Wii Sports,75.0,"[48968, 62413, 62414, 62415, 62416, 36304, 189]"
Super Mario Bros.,Vs. Super Mario Bros.,,[28224]
Mario Kart Wii,Mario Kart Wii,71.25,"[192, 13218, 147754, 47121, 56914, 56915]"
Wii Sports Resort,Wii Sports Resort,90.0,"[48969, 79914, 62417, 62418, 62420, 13213, 190]"
Pokemon Red/Pokemon Blue,,,
Tetris,Tetris,,[]
New Super Mario Bros.,New Super Mario Bros.,95.0,"[47136, 50753, 50754, 50755, 189347, 64707, 8774, 12301, 50776, 50777, 50778, 47133]"
Wii Play,Wii Play,60.0,"[194, 12972, 48966]"
New Super Mario Bros. Wii,New Super Mario Bros. Wii,81.25,"[96235, 189422, 36305, 80726, 47134]"
Duck Hunt,Duck Hunt,71.88154785780094,"[5760, 28761, 99350]"
Nintendogs,Nintendogs: Best Friends,80.0,[80972]
Mario Kart DS,Mario Kart DS,90.0,"[56846, 56847, 127444, 127445, 10965, 342]"
Pokemon Gold/Pokemon Silver,,,
Wii Fit,Wii Fit,73.5,"[195, 68036, 12983]"
Wii Fit Plus,Wii Fit Plus,78.66666666666667,"[80729, 46308, 189508, 48962]"
Kinect Adventures!,Kinect Adventures,65.0,"[27561, 48142]"
Grand Theft Auto V,Grand Theft Auto V,88.13793103448276,"[178947, 145893, 189766, 207400, 151443, 178899, 47893, 47891, 47895, 47892, 47894, 111359]"
Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas,93.14285714285714,"[47915, 47916, 47917, 190862, 47919, 47920, 47918]"
Super Mario World,Super Mario World,100.0,"[47393, 155587, 155588, 155589, 47151, 33716, 50775, 190203]"
Brain Age: Train Your Brain in Minutes a Day,Brain Age: Train Your Brain in Minutes a Day!,80.0,"[666, 99646]"
Pokemon Diamond/Pokemon Pearl,,,
Super Mario Land,Super Mario Land,74.4738089651259,"[50785, 47138, 50787, 50788, 50786, 49061, 96230, 15685, 36149, 190265]"
Super Mario Bros. 3,Super Mario Bros. 3,89.48887469902802,"[81760, 47143, 194408, 47499, 50770, 50771, 23]"
Grand Theft Auto V,Grand Theft Auto V,88.13793103448276,"[178947, 145893, 189766, 207400, 151443, 178899, 47893, 47891, 47895, 47892, 47894, 111359]"
Grand Theft Auto: Vice City,Grand Theft Auto: Vice City,94.0,"[47910, 47911, 47912, 47913, 47914, 190868, 31962]"
Pokemon Ruby/Pokemon Sapphire,,,
Pokemon Black/Pokemon White,,,
Brain Age 2: More Training in Minutes a Day,Brain Age 2: More Training in Minutes a Day!,82.0,"[665, 47198]"
Gran Turismo 3: A-Spec,Gran Turismo 3: A-Spec,100.0,"[29954, 4604]"
Call of Duty: Modern Warfare 3,Call of Duty: Modern Warfare 3,81.07692307692308,"[91907, 189541, 162893, 162894, 162895, 162896, 162897, 191218, 126323, 126324, 109107, 189431, 92063]"
Pokémon Yellow: Special Pikachu Edition,Pokémon Yellow Version: Special Pikachu Edition,80.0,"[95996, 117667, 32628, 8053]"
Call of Duty: Black Ops,Call of Duty: Black Ops,81.41666666666667,"[211136, 211137, 211138, 211139, 189061, 73805, 78237]"
Pokemon X/Pokemon Y,,,
Call of Duty: Black Ops 3,Call of Duty: Black Ops III,68.69370348791016,"[169816, 169817]"
Call of Duty: Black Ops II,Call of Duty: Black Ops II,78.47058823529412,"[32932, 93478, 190798, 96285, 96511]"
Call of Duty: Black Ops II,Call of Duty: Black Ops II,78.47058823529412,"[32932, 93478, 190798, 96285, 96511]"
Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2,85.27272727272727,"[92672, 108137, 93140, 5334, 189238]"
Call of Duty: Modern Warfare 3,Call of Duty: Modern Warfare 3,81.07692307692308,"[91907, 189541, 162893, 162894, 162895, 162896, 162897, 191218, 126323, 126324, 109107, 189431, 92063]"
Grand Theft Auto III,Grand Theft Auto III,95.0,"[167754, 47856, 47857, 47858, 47859, 47861, 82168]"
Super Smash Bros. Brawl,Super Smash Bros. Brawl,,[]
Call of Duty: Black Ops,Call of Duty: Black Ops,81.41666666666667,"[211136, 211137, 211138, 211139, 189061, 73805, 78237]"
Animal Crossing: Wild World,Animal Crossing: Wild World,75.0,"[99652, 8685, 600, 210078, 210079]"
Mario Kart 7,Mario Kart 7,83.5,"[96229, 35755, 47119, 98450, 98451, 190970]"
Halo 3,Halo 3,90.75,"[116129, 7970, 116130, 125156, 167875, 89833, 89834, 62825, 67890]"
Grand Theft Auto V,Grand Theft Auto V,88.47607035248437,"[178947, 145893, 207400, 151443, 178899]"
Pokemon HeartGold/Pokemon SoulSilver,,,
Super Mario 64,Super Mario 64,85.79557196080047,"[112257, 112258, 112259, 112260, 112261, 112262, 112263]"
Gran Turismo 4,Gran Turismo 4,86.66666666666667,"[29969, 168113, 7348, 7349]"
Super Mario Galaxy,Super Mario Galaxy,98.75,"[62693, 62694, 62695, 112264, 112265, 112266, 112267, 112268, 112269, 112270, 47145, 191369, 62696, 46227]"
Pokemon Omega Ruby/Pokemon Alpha Sapphire,,,
Super Mario Land 2: 6 Golden Coins,Super Mario Land 2: 6 Golden Coins,79.99316184240305,"[87194, 49051, 30484]"
Grand Theft Auto IV,Grand Theft Auto IV,88.125,"[190855, 47886, 47887, 47888, 47889, 47890, 44861]"
Gran Turismo,Gran Turismo,73.33333333333333,"[5248, 79726, 29939, 29972, 29973]"
Super Mario 3D Land,Super Mario 3D Land,90.0,"[50785, 47138, 50787, 50788, 50786, 36149, 190265]"
Gran Turismo 5,Gran Turismo 5,85.0,"[34137, 187757, 29976, 29977, 78525]"
Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2,85.27272727272727,"[92672, 108137, 93140, 5334, 189238]"
Grand Theft Auto IV,Grand Theft Auto IV,88.125,"[190855, 47886, 47887, 47888, 47889, 47890, 44861]"
Super Mario All-Stars,Super Mario All-Stars,80.0,"[50762, 50763, 30482, 50772, 50773, 78271]"
Pokemon FireRed/Pokemon LeafGreen,,,
Super Mario 64,Super Mario 64,85.79557196080047,"[112257, 112258, 112259, 112260, 112261, 112262, 112263]"
Just Dance 3,Just Dance 3,70.0,"[8608, 190689]"
Call of Duty: Ghosts,Call of Duty: Ghosts,73.6086956521739,"[90697, 167097, 188058, 100283, 111068, 100285, 100286]"
